osmid,y,x,street_count,geometry
345277850,28.5589106,77.086337,3,POINT (77.086337 28.5589106)
413760666,28.5568201,77.091219,3,POINT (77.091219 28.5568201)
413760670,28.5569515,77.0911391,3,POINT (77.0911391 28.5569515)
949748079,28.5569539,77.0887152,3,POINT (77.0887152 28.5569539)
1377318095,28.5559374,77.0906243,3,POINT (77.0906243 28.5559374)
1794068380,28.5531978,77.0922392,3,POINT (77.0922392 28.5531978)
1794068404,28.5560841,77.0890596,3,POINT (77.0890596 28.5560841)
1794070257,28.5552253,77.0915979,3,POINT (77.0915979 28.5552253)
1794070301,28.5556876,77.0917301,3,POINT (77.0917301 28.5556876)
1987508656,28.5552173,77.0937295,3,POINT (77.0937295 28.5552173)
2353491223,28.5572195,77.087227,4,POINT (77.087227 28.5572195)
2353491228,28.5574024,77.0870284,3,POINT (77.0870284 28.5574024)
2353491237,28.5576953,77.0871799,3,POINT (77.0871799 28.5576953)
4572503843,28.5574621,77.0847696,1,POINT (77.0847696 28.5574621)
4572504342,28.5570681,77.0853547,3,POINT (77.0853547 28.5570681)
4572504360,28.5560621,77.0894914,3,POINT (77.0894914 28.5560621)
6883916918,28.5572105,77.0850092,3,POINT (77.0850092 28.5572105)
10982104589,28.5581456,77.0877897,3,POINT (77.0877897 28.5581456)
10982117547,28.5582931,77.0859806,3,POINT (77.0859806 28.5582931)
10982117566,28.5577209,77.0873717,3,POINT (77.0873717 28.5577209)
10982125359,28.5572657,77.0852873,3,POINT (77.0852873 28.5572657)
